"airport","airport_name","cancelation_rate"
"MMH","Mammoth Lakes, CA: Mammoth Lakes Airport","20.54"
"PGV","Greenville, NC: Pitt Greenville","11.79"
"USA","Concord, NC: Concord Padgett Regional","7.38"
"BFM","Mobile, AL: Mobile Downtown","7.14"
"ADK","Adak Island, AK: Adak","6.81"
"ASE","Aspen, CO: Aspen Pitkin County Sardy Field","6.77"
"SCK","Stockton, CA: Stockton Metropolitan","6.41"
"HYA","Hyannis, MA: Cape Cod Gateway","6.37"
"IAG","Niagara Falls, NY: Niagara Falls International","6.35"
"DIK","Dickinson, ND: Dickinson - Theodore Roosevelt Regional","6.25"
