"airport","airport_name","diverted_rate"
"CDB","Cold Bay, AK: Cold Bay Airport","4.96"
"YAK","Yakutat, AK: Yakutat Airport","3.55"
"ASE","Aspen, CO: Aspen Pitkin County Sardy Field","3.00"
"SUN","Sun Valley/Hailey/Ketchum, ID: Friedman Memorial","2.48"
"OTH","North Bend/Coos Bay, OR: Southwest Oregon Regional","2.39"
"ISN","Williston, ND: Sloulin Field International","1.82"
"OGS","Ogdensburg, NY: Ogdensburg International","1.64"
"CDV","Cordova, AK: Merle K Mudhole Smith","1.52"
"PSM","Portsmouth, NH: Portsmouth International at Pease","1.31"
"BRW","Barrow, AK: Wiley Post/Will Rogers Memorial","1.29"
