"year","carrier","carrier_name","total_cancelled","total_flights","cancellation_rate"
2019,"EV","ExpressJet Airlines LLC","1593.00","55541.00","2.87"
2019,"MQ","Envoy Air","3028.00","138264.00","2.19"
2019,"YV","Mesa Airlines Inc.","2077.00","96376.00","2.16"
2019,"NK","Spirit Air Lines","1627.00","87267.00","1.86"
2019,"OH","PSA Airlines Inc.","2227.00","121527.00","1.83"
2019,"OO","SkyWest Airlines Inc.","5650.00","355068.00","1.59"
2019,"F9","Frontier Airlines Inc.","932.00","61917.00","1.51"
2019,"YX","Republic Airline","2081.00","141307.00","1.47"
2019,"WN","Southwest Airlines Co.","7064.00","565916.00","1.25"
2019,"AA","American Airlines Inc.","4430.00","398351.00","1.11"
2019,"9E","Endeavor Air Inc.","1178.00","109954.00","1.07"
2019,"B6","JetBlue Airways","1047.00","124478.00","0.84"
2019,"AS","Alaska Airlines Inc.","882.00","111619.00","0.79"
2019,"UA","United Air Lines Inc.","1854.00","264789.00","0.70"
2019,"G4","Allegiant Air","269.00","39830.00","0.68"
2019,"HA","Hawaiian Airlines Inc.","70.00","35551.00","0.20"
2019,"DL","Delta Air Lines Inc.","716.00","420915.00","0.17"
2020,"G4","Allegiant Air","14296.00","98489.00","14.52"
2020,"WN","Southwest Airlines Co.","77842.00","961276.00","8.10"
2020,"EV","ExpressJet Airlines LLC","4035.00","52135.00","7.74"
2020,"UA","United Air Lines Inc.","22593.00","308217.00","7.33"
2020,"OH","PSA Airlines Inc.","14108.00","192614.00","7.32"
2020,"YV","Mesa Airlines Inc.","8250.00","136198.00","6.06"
2020,"AA","American Airlines Inc.","34262.00","569806.00","6.01"
2020,"B6","JetBlue Airways","7982.00","144163.00","5.54"
2020,"HA","Hawaiian Airlines Inc.","2144.00","40414.00","5.31"
2020,"MQ","Envoy Air","11202.00","211268.00","5.30"
2020,"F9","Frontier Airlines Inc.","4691.00","91175.00","5.15"
2020,"DL","Delta Air Lines Inc.","28769.00","581101.00","4.95"
2020,"YX","Republic Airline","10518.00","219751.00","4.79"
2020,"OO","SkyWest Airlines Inc.","24955.00","597021.00","4.18"
2020,"AS","Alaska Airlines Inc.","5481.00","138226.00","3.97"
2020,"9E","Endeavor Air Inc.","6942.00","211398.00","3.28"
2020,"NK","Spirit Air Lines","2964.00","135102.00","2.19"
2021,"G4","Allegiant Air","3829.00","115881.00","3.30"
2021,"YV","Mesa Airlines Inc.","4818.00","159809.00","3.01"
2021,"NK","Spirit Air Lines","5661.00","191361.00","2.96"
2021,"AA","American Airlines Inc.","16478.00","736399.00","2.24"
2021,"MQ","Envoy Air","5700.00","255710.00","2.23"
2021,"WN","Southwest Airlines Co.","23505.00","1064640.00","2.21"
2021,"QX","Horizon Air","2096.00","111628.00","1.88"
2021,"OO","SkyWest Airlines Inc.","13412.00","753417.00","1.78"
2021,"YX","Republic Airline","5850.00","333063.00","1.76"
2021,"AS","Alaska Airlines Inc.","3217.00","188955.00","1.70"
2021,"B6","JetBlue Airways","3299.00","202702.00","1.63"
2021,"F9","Frontier Airlines Inc.","1929.00","137142.00","1.41"
2021,"UA","United Air Lines Inc.","6107.00","446837.00","1.37"
2021,"OH","PSA Airlines Inc.","2278.00","222611.00","1.02"
2021,"DL","Delta Air Lines Inc.","3631.00","747998.00","0.49"
2021,"HA","Hawaiian Airlines Inc.","264.00","60542.00","0.44"
2021,"9E","Endeavor Air Inc.","986.00","266702.00","0.37"
2022,"YX","Republic Airline","14862.00","316524.00","4.70"
2022,"B6","JetBlue Airways","10219.00","273058.00","3.74"
2022,"9E","Endeavor Air Inc.","8202.00","231941.00","3.54"
2022,"G4","Allegiant Air","4110.00","116877.00","3.52"
2022,"YV","Mesa Airlines Inc.","3810.00","114779.00","3.32"
2022,"WN","Southwest Airlines Co.","42655.00","1307149.00","3.26"
2022,"OH","PSA Airlines Inc.","6612.00","214450.00","3.08"
2022,"NK","Spirit Air Lines","6973.00","232400.00","3.00"
2022,"AA","American Airlines Inc.","25894.00","874145.00","2.96"
2022,"F9","Frontier Airlines Inc.","4455.00","155482.00","2.87"
2022,"AS","Alaska Airlines Inc.","6218.00","228384.00","2.72"
2022,"MQ","Envoy Air","5550.00","248059.00","2.24"
2022,"UA","United Air Lines Inc.","11886.00","626473.00","1.90"
2022,"OO","SkyWest Airlines Inc.","13331.00","733576.00","1.82"
2022,"QX","Horizon Air","1512.00","88791.00","1.70"
2022,"DL","Delta Air Lines Inc.","14317.00","893172.00","1.60"
2022,"HA","Hawaiian Airlines Inc.","680.00","73865.00","0.92"
2023,"YX","Republic Airline","6323.00","203204.00","3.11"
2023,"F9","Frontier Airlines Inc.","3221.00","112317.00","2.87"
2023,"B6","JetBlue Airways","4889.00","188695.00","2.59"
2023,"9E","Endeavor Air Inc.","3309.00","133138.00","2.49"
2023,"NK","Spirit Air Lines","3608.00","173794.00","2.08"
2023,"UA","United Air Lines Inc.","9239.00","485984.00","1.90"
2023,"OH","PSA Airlines Inc.","2203.00","128901.00","1.71"
2023,"OO","SkyWest Airlines Inc.","7177.00","442865.00","1.62"
2023,"DL","Delta Air Lines Inc.","9508.00","656543.00","1.45"
2023,"AA","American Airlines Inc.","8857.00","630400.00","1.40"
2023,"MQ","Envoy Air","1946.00","148296.00","1.31"
2023,"WN","Southwest Airlines Co.","12328.00","941733.00","1.31"
2023,"HA","Hawaiian Airlines Inc.","705.00","54011.00","1.31"
2023,"AS","Alaska Airlines Inc.","1628.00","164957.00","0.99"
2023,"G4","Allegiant Air","675.00","80584.00","0.84"
