"year","carrier","carrier_name","total_delayed","total_flights","delay_rate"
2019,"B6","JetBlue Airways","29217.00","124478.00","23.47"
2019,"EV","ExpressJet Airlines LLC","13020.00","55541.00","23.44"
2019,"F9","Frontier Airlines Inc.","14084.00","61917.00","22.75"
2019,"YV","Mesa Airlines Inc.","19457.00","96376.00","20.19"
2019,"G4","Allegiant Air","7885.00","39830.00","19.80"
2019,"OH","PSA Airlines Inc.","23624.00","121527.00","19.44"
2019,"UA","United Air Lines Inc.","50680.00","264789.00","19.14"
2019,"AS","Alaska Airlines Inc.","21129.00","111619.00","18.93"
2019,"MQ","Envoy Air","25105.00","138264.00","18.16"
2019,"AA","American Airlines Inc.","71616.00","398351.00","17.98"
2019,"YX","Republic Airline","24592.00","141307.00","17.40"
2019,"NK","Spirit Air Lines","14610.00","87267.00","16.74"
2019,"OO","SkyWest Airlines Inc.","57600.00","355068.00","16.22"
2019,"WN","Southwest Airlines Co.","85852.00","565916.00","15.17"
2019,"9E","Endeavor Air Inc.","16411.00","109954.00","14.93"
2019,"DL","Delta Air Lines Inc.","55703.00","420915.00","13.23"
2019,"HA","Hawaiian Airlines Inc.","3903.00","35551.00","10.98"
2020,"G4","Allegiant Air","13437.00","98489.00","13.64"
2020,"OH","PSA Airlines Inc.","25345.00","192614.00","13.16"
2020,"MQ","Envoy Air","26524.00","211268.00","12.55"
2020,"YV","Mesa Airlines Inc.","16521.00","136198.00","12.13"
2020,"B6","JetBlue Airways","17458.00","144163.00","12.11"
2020,"NK","Spirit Air Lines","14886.00","135102.00","11.02"
2020,"AS","Alaska Airlines Inc.","15181.00","138226.00","10.98"
2020,"F9","Frontier Airlines Inc.","9953.00","91175.00","10.92"
2020,"AA","American Airlines Inc.","59551.00","569806.00","10.45"
2020,"EV","ExpressJet Airlines LLC","5315.00","52135.00","10.19"
2020,"OO","SkyWest Airlines Inc.","57969.00","597021.00","9.71"
2020,"UA","United Air Lines Inc.","27628.00","308217.00","8.96"
2020,"DL","Delta Air Lines Inc.","49920.00","581101.00","8.59"
2020,"YX","Republic Airline","17872.00","219751.00","8.13"
2020,"9E","Endeavor Air Inc.","15734.00","211398.00","7.44"
2020,"HA","Hawaiian Airlines Inc.","2685.00","40414.00","6.64"
2020,"WN","Southwest Airlines Co.","55942.00","961276.00","5.82"
2021,"G4","Allegiant Air","32707.00","115881.00","28.22"
2021,"B6","JetBlue Airways","52009.00","202702.00","25.66"
2021,"F9","Frontier Airlines Inc.","29933.00","137142.00","21.83"
2021,"WN","Southwest Airlines Co.","231992.00","1064640.00","21.79"
2021,"NK","Spirit Air Lines","38440.00","191361.00","20.09"
2021,"YV","Mesa Airlines Inc.","31246.00","159809.00","19.55"
2021,"UA","United Air Lines Inc.","76183.00","446837.00","17.05"
2021,"AA","American Airlines Inc.","124785.00","736399.00","16.95"
2021,"AS","Alaska Airlines Inc.","31835.00","188955.00","16.85"
2021,"OO","SkyWest Airlines Inc.","116693.00","753417.00","15.49"
2021,"MQ","Envoy Air","38845.00","255710.00","15.19"
2021,"OH","PSA Airlines Inc.","31688.00","222611.00","14.23"
2021,"YX","Republic Airline","45516.00","333063.00","13.67"
2021,"QX","Horizon Air","14185.00","111628.00","12.71"
2021,"DL","Delta Air Lines Inc.","85961.00","747998.00","11.49"
2021,"HA","Hawaiian Airlines Inc.","5661.00","60542.00","9.35"
2021,"9E","Endeavor Air Inc.","22653.00","266702.00","8.49"
2022,"G4","Allegiant Air","38373.00","116877.00","32.83"
2022,"B6","JetBlue Airways","85373.00","273058.00","31.27"
2022,"F9","Frontier Airlines Inc.","47981.00","155482.00","30.86"
2022,"NK","Spirit Air Lines","55480.00","232400.00","23.87"
2022,"WN","Southwest Airlines Co.","305255.00","1307149.00","23.35"
2022,"HA","Hawaiian Airlines Inc.","17131.00","73865.00","23.19"
2022,"AA","American Airlines Inc.","190872.00","874145.00","21.84"
2022,"AS","Alaska Airlines Inc.","45003.00","228384.00","19.70"
2022,"YV","Mesa Airlines Inc.","21795.00","114779.00","18.99"
2022,"UA","United Air Lines Inc.","118018.00","626473.00","18.84"
2022,"OH","PSA Airlines Inc.","40071.00","214450.00","18.69"
2022,"YX","Republic Airline","58949.00","316524.00","18.62"
2022,"MQ","Envoy Air","41891.00","248059.00","16.89"
2022,"QX","Horizon Air","14497.00","88791.00","16.33"
2022,"OO","SkyWest Airlines Inc.","119580.00","733576.00","16.30"
2022,"9E","Endeavor Air Inc.","36473.00","231941.00","15.73"
2022,"DL","Delta Air Lines Inc.","140056.00","893172.00","15.68"
2023,"F9","Frontier Airlines Inc.","39143.00","112317.00","34.85"
2023,"NK","Spirit Air Lines","55163.00","173794.00","31.74"
2023,"B6","JetBlue Airways","59513.00","188695.00","31.54"
2023,"G4","Allegiant Air","22654.00","80584.00","28.11"
2023,"HA","Hawaiian Airlines Inc.","14746.00","54011.00","27.30"
2023,"AA","American Airlines Inc.","159894.00","630400.00","25.36"
2023,"WN","Southwest Airlines Co.","222591.00","941733.00","23.64"
2023,"UA","United Air Lines Inc.","114828.00","485984.00","23.63"
2023,"AS","Alaska Airlines Inc.","34407.00","164957.00","20.86"
2023,"MQ","Envoy Air","28519.00","148296.00","19.23"
2023,"DL","Delta Air Lines Inc.","125348.00","656543.00","19.09"
2023,"OH","PSA Airlines Inc.","22657.00","128901.00","17.58"
2023,"OO","SkyWest Airlines Inc.","74667.00","442865.00","16.86"
2023,"9E","Endeavor Air Inc.","20291.00","133138.00","15.24"
2023,"YX","Republic Airline","29093.00","203204.00","14.32"
