"carrier","carrier_name","weather_delay_minutes","carrier_delay_minutes","security_delay_minutes","late_aircraft_delay_minutes","nas_delay_minutes","total_delay_minutes"
"AA","American Airlines Inc.","1941321771.19","12783743012.49","146582947.59","17795293238.33","11759105633.75","46449251.00"
"WN","Southwest Airlines Co.","476894247.00","10191324513.87","111962531.69","14717225632.64","6796994227.47","45609615.00"
"OO","SkyWest Airlines Inc.","1126087917.99","6510024952.71","28245526.84","3236327035.17","1686484860.93","34687793.00"
"DL","Delta Air Lines Inc.","861027186.68","7917927445.22","29222285.53","8213805572.93","6614504333.71","30893866.00"
"UA","United Air Lines Inc.","565566057.95","5074561577.25","4012840.48","5455069042.56","7024998136.41","27143947.00"
"B6","JetBlue Airways","164110644.29","3395899228.97","29645450.37","3594342435.57","2513106934.99","18874553.00"
"NK","Spirit Air Lines","104437434.82","836270060.83","34970885.39","841118662.48","1517081766.63","12243405.00"
"YX","Republic Airline","114583015.94","683478536.18","3866851.87","830536510.12","1502349415.63","11789941.00"
"OH","PSA Airlines Inc.","172648924.92","832824518.58","10257664.98","1787030518.34","1063035367.73","10139515.00"
"F9","Frontier Airlines Inc.","39281366.35","701025711.89","0.00","1036672425.33","820285892.27","10136193.00"
"MQ","Envoy Air","293872143.47","744520213.30","10321736.88","1339819540.88","1521913839.64","9775372.00"
"9E","Endeavor Air Inc.","84021570.91","375829012.46","916463.82","559075694.55","678576970.23","8375489.00"
"G4","Allegiant Air","48229124.89","208366160.12","4201831.20","434883995.74","279867155.59","8335051.00"
"YV","Mesa Airlines Inc.","122934451.26","406195763.91","3464672.53","697531991.00","474255783.39","7480002.00"
"AS","Alaska Airlines Inc.","78390052.08","763455685.51","24417724.68","1054620176.16","1313315871.07","7375480.00"
"HA","Hawaiian Airlines Inc.","21229103.25","325491333.95","2710981.73","347234545.14","84986273.14","2023163.00"
"QX","Horizon Air","13924036.09","65991480.16","504297.85","91768266.79","80916393.07","1454145.00"
"EV","ExpressJet Airlines LLC","5985521.69","47803393.25","0.00","111464471.08","203975116.41","1422206.00"
