"year","carrier","carrier_name","total_diverted","total_flights","divert_rate"
2019,"OO","SkyWest Airlines Inc.","1189.00","355068.00","0.33"
2019,"B6","JetBlue Airways","342.00","124478.00","0.27"
2019,"EV","ExpressJet Airlines LLC","139.00","55541.00","0.25"
2019,"MQ","Envoy Air","343.00","138264.00","0.25"
2019,"OH","PSA Airlines Inc.","303.00","121527.00","0.25"
2019,"YV","Mesa Airlines Inc.","239.00","96376.00","0.25"
2019,"UA","United Air Lines Inc.","577.00","264789.00","0.22"
2019,"AS","Alaska Airlines Inc.","238.00","111619.00","0.21"
2019,"AA","American Airlines Inc.","815.00","398351.00","0.20"
2019,"YX","Republic Airline","281.00","141307.00","0.20"
2019,"9E","Endeavor Air Inc.","187.00","109954.00","0.17"
2019,"DL","Delta Air Lines Inc.","703.00","420915.00","0.17"
2019,"WN","Southwest Airlines Co.","887.00","565916.00","0.16"
2019,"NK","Spirit Air Lines","120.00","87267.00","0.14"
2019,"G4","Allegiant Air","54.00","39830.00","0.14"
2019,"F9","Frontier Airlines Inc.","78.00","61917.00","0.13"
2019,"HA","Hawaiian Airlines Inc.","27.00","35551.00","0.08"
2020,"G4","Allegiant Air","499.00","98489.00","0.51"
2020,"EV","ExpressJet Airlines LLC","119.00","52135.00","0.23"
2020,"B6","JetBlue Airways","311.00","144163.00","0.22"
2020,"OH","PSA Airlines Inc.","422.00","192614.00","0.22"
2020,"OO","SkyWest Airlines Inc.","1343.00","597021.00","0.22"
2020,"YV","Mesa Airlines Inc.","280.00","136198.00","0.21"
2020,"AS","Alaska Airlines Inc.","279.00","138226.00","0.20"
2020,"NK","Spirit Air Lines","245.00","135102.00","0.18"
2020,"MQ","Envoy Air","354.00","211268.00","0.17"
2020,"AA","American Airlines Inc.","935.00","569806.00","0.16"
2020,"UA","United Air Lines Inc.","461.00","308217.00","0.15"
2020,"YX","Republic Airline","321.00","219751.00","0.15"
2020,"DL","Delta Air Lines Inc.","814.00","581101.00","0.14"
2020,"WN","Southwest Airlines Co.","1020.00","961276.00","0.11"
2020,"9E","Endeavor Air Inc.","241.00","211398.00","0.11"
2020,"HA","Hawaiian Airlines Inc.","34.00","40414.00","0.08"
2020,"F9","Frontier Airlines Inc.","66.00","91175.00","0.07"
2021,"B6","JetBlue Airways","822.00","202702.00","0.41"
2021,"YV","Mesa Airlines Inc.","471.00","159809.00","0.29"
2021,"OO","SkyWest Airlines Inc.","2134.00","753417.00","0.28"
2021,"AA","American Airlines Inc.","2090.00","736399.00","0.28"
2021,"MQ","Envoy Air","666.00","255710.00","0.26"
2021,"UA","United Air Lines Inc.","1076.00","446837.00","0.24"
2021,"OH","PSA Airlines Inc.","503.00","222611.00","0.23"
2021,"AS","Alaska Airlines Inc.","432.00","188955.00","0.23"
2021,"WN","Southwest Airlines Co.","2375.00","1064640.00","0.22"
2021,"NK","Spirit Air Lines","414.00","191361.00","0.22"
2021,"YX","Republic Airline","749.00","333063.00","0.22"
2021,"G4","Allegiant Air","250.00","115881.00","0.22"
2021,"DL","Delta Air Lines Inc.","1319.00","747998.00","0.18"
2021,"9E","Endeavor Air Inc.","422.00","266702.00","0.16"
2021,"QX","Horizon Air","172.00","111628.00","0.15"
2021,"F9","Frontier Airlines Inc.","181.00","137142.00","0.13"
2021,"HA","Hawaiian Airlines Inc.","41.00","60542.00","0.07"
2022,"B6","JetBlue Airways","977.00","273058.00","0.36"
2022,"AS","Alaska Airlines Inc.","675.00","228384.00","0.30"
2022,"OO","SkyWest Airlines Inc.","1996.00","733576.00","0.27"
2022,"OH","PSA Airlines Inc.","580.00","214450.00","0.27"
2022,"UA","United Air Lines Inc.","1598.00","626473.00","0.26"
2022,"YV","Mesa Airlines Inc.","304.00","114779.00","0.26"
2022,"G4","Allegiant Air","301.00","116877.00","0.26"
2022,"AA","American Airlines Inc.","2314.00","874145.00","0.26"
2022,"YX","Republic Airline","811.00","316524.00","0.26"
2022,"MQ","Envoy Air","570.00","248059.00","0.23"
2022,"9E","Endeavor Air Inc.","492.00","231941.00","0.21"
2022,"WN","Southwest Airlines Co.","2629.00","1307149.00","0.20"
2022,"DL","Delta Air Lines Inc.","1663.00","893172.00","0.19"
2022,"F9","Frontier Airlines Inc.","280.00","155482.00","0.18"
2022,"QX","Horizon Air","158.00","88791.00","0.18"
2022,"NK","Spirit Air Lines","395.00","232400.00","0.17"
2022,"HA","Hawaiian Airlines Inc.","83.00","73865.00","0.11"
2023,"B6","JetBlue Airways","865.00","188695.00","0.46"
2023,"OO","SkyWest Airlines Inc.","1448.00","442865.00","0.33"
2023,"UA","United Air Lines Inc.","1582.00","485984.00","0.33"
2023,"AS","Alaska Airlines Inc.","515.00","164957.00","0.31"
2023,"G4","Allegiant Air","248.00","80584.00","0.31"
2023,"AA","American Airlines Inc.","1900.00","630400.00","0.30"
2023,"OH","PSA Airlines Inc.","374.00","128901.00","0.29"
2023,"DL","Delta Air Lines Inc.","1614.00","656543.00","0.25"
2023,"NK","Spirit Air Lines","428.00","173794.00","0.25"
2023,"MQ","Envoy Air","365.00","148296.00","0.25"
2023,"WN","Southwest Airlines Co.","2293.00","941733.00","0.24"
2023,"YX","Republic Airline","455.00","203204.00","0.22"
2023,"9E","Endeavor Air Inc.","282.00","133138.00","0.21"
2023,"F9","Frontier Airlines Inc.","224.00","112317.00","0.20"
2023,"HA","Hawaiian Airlines Inc.","53.00","54011.00","0.10"
