"year","airline","avg_flights_per_day"
2019,"Alaska Airlines Inc.","74"
2019,"Allegiant Air","29"
2019,"American Airlines Inc.","264"
2019,"Delta Air Lines Inc.","277"
2019,"Endeavor Air Inc.","71"
2019,"Envoy Air","91"
2019,"ExpressJet Airlines LLC d/b/a aha!","37"
2019,"Frontier Airlines Inc.","38"
2019,"Hawaiian Airlines Inc.","23"
2019,"JetBlue Airways","83"
2019,"Mesa Airlines Inc.","63"
2019,"PSA Airlines Inc.","80"
2019,"Republic Airline","92"
2019,"SkyWest Airlines Inc.","233"
2019,"Southwest Airlines Co.","381"
2019,"Spirit Air Lines","57"
2019,"United Air Lines Inc.","174"
2020,"Alaska Airlines Inc.","38"
2020,"Allegiant Air","28"
2020,"American Airlines Inc.","159"
2020,"Delta Air Lines Inc.","161"
2020,"Endeavor Air Inc.","59"
2020,"Envoy Air","58"
2020,"ExpressJet Airlines LLC d/b/a aha!","19"
2020,"Frontier Airlines Inc.","25"
2020,"Hawaiian Airlines Inc.","11"
2020,"JetBlue Airways","39"
2020,"Mesa Airlines Inc.","38"
2020,"PSA Airlines Inc.","54"
2020,"Republic Airline","61"
2020,"SkyWest Airlines Inc.","166"
2020,"Southwest Airlines Co.","268"
2020,"Spirit Air Lines","37"
2020,"United Air Lines Inc.","86"
2021,"Alaska Airlines Inc.","52"
2021,"Allegiant Air","32"
2021,"American Airlines Inc.","205"
2021,"Delta Air Lines Inc.","208"
2021,"Endeavor Air Inc.","74"
2021,"Envoy Air","71"
2021,"Frontier Airlines Inc.","38"
2021,"Hawaiian Airlines Inc.","16"
2021,"Horizon Air","31"
2021,"JetBlue Airways","57"
2021,"Mesa Airlines Inc.","44"
2021,"PSA Airlines Inc.","62"
2021,"Republic Airline","93"
2021,"SkyWest Airlines Inc.","210"
2021,"Southwest Airlines Co.","297"
2021,"Spirit Air Lines","54"
2021,"United Air Lines Inc.","124"
2022,"Alaska Airlines Inc.","63"
2022,"Allegiant Air","33"
2022,"American Airlines Inc.","243"
2022,"Delta Air Lines Inc.","250"
2022,"Endeavor Air Inc.","64"
2022,"Envoy Air","69"
2022,"Frontier Airlines Inc.","43"
2022,"Hawaiian Airlines Inc.","20"
2022,"Horizon Air","25"
2022,"JetBlue Airways","76"
2022,"Mesa Airlines Inc.","31"
2022,"PSA Airlines Inc.","60"
2022,"Republic Airline","88"
2022,"SkyWest Airlines Inc.","206"
2022,"Southwest Airlines Co.","366"
2022,"Spirit Air Lines","64"
2022,"United Air Lines Inc.","176"
2023,"Alaska Airlines Inc.","69"
2023,"Allegiant Air","33"
2023,"American Airlines Inc.","263"
2023,"Delta Air Lines Inc.","275"
2023,"Endeavor Air Inc.","56"
2023,"Envoy Air","61"
2023,"Frontier Airlines Inc.","47"
2023,"Hawaiian Airlines Inc.","22"
2023,"JetBlue Airways","79"
2023,"PSA Airlines Inc.","54"
2023,"Republic Airline","85"
2023,"SkyWest Airlines Inc.","185"
2023,"Southwest Airlines Co.","395"
2023,"Spirit Air Lines","72"
2023,"United Air Lines Inc.","203"
