"year","airline","day_of_week","num_flights"
2019,"Southwest Airlines Co.",2,"20874"
2019,"Delta Air Lines Inc.",2,"15280"
2019,"American Airlines Inc.",6,"14527"
2019,"SkyWest Airlines Inc.",5,"12720"
2019,"United Air Lines Inc.",6,"9375"
2019,"Republic Airline",4,"5088"
2019,"Envoy Air",6,"4974"
2019,"JetBlue Airways",6,"4533"
2019,"PSA Airlines Inc.",4,"4370"
2019,"Endeavor Air Inc.",3,"4122"
2019,"Alaska Airlines Inc.",3,"3947"
2019,"Mesa Airlines Inc.",5,"3457"
2019,"Spirit Air Lines",1,"3173"
2019,"Frontier Airlines Inc.",1,"2141"
2019,"ExpressJet Airlines LLC d/b/a aha!",6,"2090"
2019,"Allegiant Air",1,"2020"
2019,"Hawaiian Airlines Inc.",6,"1334"
2020,"Southwest Airlines Co.",2,"14459"
2020,"SkyWest Airlines Inc.",5,"9070"
2020,"American Airlines Inc.",6,"8932"
2020,"Delta Air Lines Inc.",5,"8894"
2020,"United Air Lines Inc.",5,"4747"
2020,"Republic Airline",2,"3425"
2020,"Envoy Air",1,"3330"
2020,"Endeavor Air Inc.",4,"3248"
2020,"PSA Airlines Inc.",6,"3034"
2020,"JetBlue Airways",5,"2388"
2020,"Spirit Air Lines",5,"2188"
2020,"Alaska Airlines Inc.",6,"2123"
2020,"Mesa Airlines Inc.",1,"2096"
2020,"Allegiant Air",5,"2021"
2020,"Frontier Airlines Inc.",5,"1602"
2020,"ExpressJet Airlines LLC d/b/a aha!",6,"817"
2020,"Hawaiian Airlines Inc.",6,"625"
2021,"Southwest Airlines Co.",2,"16180"
2021,"American Airlines Inc.",6,"11549"
2021,"SkyWest Airlines Inc.",6,"11451"
2021,"Delta Air Lines Inc.",6,"11445"
2021,"United Air Lines Inc.",6,"6804"
2021,"Republic Airline",2,"5202"
2021,"Endeavor Air Inc.",6,"4171"
2021,"Envoy Air",6,"3923"
2021,"PSA Airlines Inc.",6,"3531"
2021,"JetBlue Airways",1,"3297"
2021,"Spirit Air Lines",5,"3088"
2021,"Alaska Airlines Inc.",6,"2927"
2021,"Mesa Airlines Inc.",6,"2428"
2021,"Allegiant Air",1,"2391"
2021,"Frontier Airlines Inc.",6,"2321"
2021,"Horizon Air",6,"1738"
2021,"Hawaiian Airlines Inc.",6,"982"
2022,"Southwest Airlines Co.",6,"19822"
2022,"Delta Air Lines Inc.",5,"13686"
2022,"American Airlines Inc.",5,"13259"
2022,"SkyWest Airlines Inc.",6,"11101"
2022,"United Air Lines Inc.",6,"9497"
2022,"Republic Airline",2,"4999"
2022,"JetBlue Airways",5,"4164"
2022,"Envoy Air",6,"3879"
2022,"Endeavor Air Inc.",2,"3657"
2022,"Alaska Airlines Inc.",5,"3564"
2022,"Spirit Air Lines",1,"3540"
2022,"PSA Airlines Inc.",5,"3311"
2022,"Frontier Airlines Inc.",6,"2496"
2022,"Allegiant Air",1,"2313"
2022,"Mesa Airlines Inc.",1,"1845"
2022,"Horizon Air",5,"1427"
2022,"Hawaiian Airlines Inc.",5,"1141"
2023,"Southwest Airlines Co.",2,"14535"
2023,"Delta Air Lines Inc.",5,"9997"
2023,"American Airlines Inc.",5,"9648"
2023,"United Air Lines Inc.",3,"7308"
2023,"SkyWest Airlines Inc.",2,"6722"
2023,"Republic Airline",5,"3172"
2023,"JetBlue Airways",2,"2875"
2023,"Spirit Air Lines",5,"2609"
2023,"Alaska Airlines Inc.",5,"2506"
2023,"Envoy Air",5,"2249"
2023,"Endeavor Air Inc.",2,"2127"
2023,"PSA Airlines Inc.",5,"1955"
2023,"Frontier Airlines Inc.",2,"1730"
2023,"Allegiant Air",1,"1626"
2023,"Hawaiian Airlines Inc.",5,"856"
