"year","airline","num_flights","share_pct"
2019,"Southwest Airlines Co.","139406","18.40"
2019,"Delta Air Lines Inc.","101443","13.39"
2019,"American Airlines Inc.","96676","12.76"
2019,"SkyWest Airlines Inc.","85329","11.26"
2019,"United Air Lines Inc.","63572","8.39"
2019,"Republic Airline","33617","4.44"
2019,"Envoy Air","33307","4.40"
2019,"JetBlue Airways","30395","4.01"
2019,"PSA Airlines Inc.","29435","3.88"
2019,"Alaska Airlines Inc.","27051","3.57"
2019,"Endeavor Air Inc.","26235","3.46"
2019,"Mesa Airlines Inc.","23274","3.07"
2019,"Spirit Air Lines","20877","2.76"
2019,"Frontier Airlines Inc.","13929","1.84"
2019,"ExpressJet Airlines LLC d/b/a aha!","13756","1.82"
2019,"Allegiant Air","10803","1.43"
2019,"Hawaiian Airlines Inc.","8568","1.13"
2020,"Southwest Airlines Co.","98346","20.52"
2020,"SkyWest Airlines Inc.","61009","12.73"
2020,"Delta Air Lines Inc.","59251","12.36"
2020,"American Airlines Inc.","58447","12.19"
2020,"United Air Lines Inc.","31584","6.59"
2020,"Republic Airline","22490","4.69"
2020,"Endeavor Air Inc.","21729","4.53"
2020,"Envoy Air","21466","4.48"
2020,"PSA Airlines Inc.","19833","4.14"
2020,"JetBlue Airways","14521","3.03"
2020,"Alaska Airlines Inc.","14145","2.95"
2020,"Mesa Airlines Inc.","13933","2.91"
2020,"Spirit Air Lines","13841","2.89"
2020,"Allegiant Air","10030","2.09"
2020,"Frontier Airlines Inc.","9222","1.92"
2020,"ExpressJet Airlines LLC d/b/a aha!","5326","1.11"
2020,"Hawaiian Airlines Inc.","4177","0.87"
2021,"Southwest Airlines Co.","108595","17.75"
2021,"SkyWest Airlines Inc.","76893","12.57"
2021,"Delta Air Lines Inc.","76154","12.45"
2021,"American Airlines Inc.","75016","12.26"
2021,"United Air Lines Inc.","45544","7.45"
2021,"Republic Airline","34003","5.56"
2021,"Endeavor Air Inc.","27264","4.46"
2021,"Envoy Air","26041","4.26"
2021,"PSA Airlines Inc.","22660","3.70"
2021,"JetBlue Airways","20860","3.41"
2021,"Spirit Air Lines","19797","3.24"
2021,"Alaska Airlines Inc.","19069","3.12"
2021,"Mesa Airlines Inc.","16254","2.66"
2021,"Frontier Airlines Inc.","14010","2.29"
2021,"Allegiant Air","11796","1.93"
2021,"Horizon Air","11492","1.88"
2021,"Hawaiian Airlines Inc.","6185","1.01"
2022,"Southwest Airlines Co.","133923","19.47"
2022,"Delta Air Lines Inc.","91326","13.28"
2022,"American Airlines Inc.","88842","12.92"
2022,"SkyWest Airlines Inc.","75342","10.95"
2022,"United Air Lines Inc.","64349","9.35"
2022,"Republic Airline","32297","4.70"
2022,"JetBlue Airways","27795","4.04"
2022,"Envoy Air","25424","3.70"
2022,"Spirit Air Lines","23584","3.43"
2022,"Endeavor Air Inc.","23501","3.42"
2022,"Alaska Airlines Inc.","23356","3.40"
2022,"PSA Airlines Inc.","21952","3.19"
2022,"Frontier Airlines Inc.","15839","2.30"
2022,"Allegiant Air","11988","1.74"
2022,"Mesa Airlines Inc.","11551","1.68"
2022,"Horizon Air","9142","1.33"
2022,"Hawaiian Airlines Inc.","7649","1.11"
2023,"Southwest Airlines Co.","96200","20.76"
2023,"Delta Air Lines Inc.","67065","14.47"
2023,"American Airlines Inc.","64125","13.84"
2023,"United Air Lines Inc.","49455","10.67"
2023,"SkyWest Airlines Inc.","45164","9.74"
2023,"Republic Airline","20700","4.47"
2023,"JetBlue Airways","19273","4.16"
2023,"Spirit Air Lines","17612","3.80"
2023,"Alaska Airlines Inc.","16846","3.63"
2023,"Envoy Air","15018","3.24"
2023,"Endeavor Air Inc.","13734","2.96"
2023,"PSA Airlines Inc.","13170","2.84"
2023,"Frontier Airlines Inc.","11466","2.47"
2023,"Allegiant Air","8121","1.75"
2023,"Hawaiian Airlines Inc.","5535","1.19"
